Date,Content,Name,Rating
2/1/2019,This game is fun to begin with but then later on in the game everything is very slow and take to long,Cody Jones,3
2/1/2019,niggga,,5
2/1/2019,not bad,FoxGaming :L,4
2/1/2019,its fun to pass time,,4
2/1/2019,boss game ever,,5
2/1/2019,This game is a changing and fun,,5
2/1/2019,it was very good,Samson Oluwaseyi,5
2/1/2019,it is the best game i swear thanks supercell,,5
2/1/2019,thi s is very good for entertainmet,Muttasy ahmad,5
2/1/2019,I luv this game u meet people all around the world and it has the best troops it just need the builder games,,5
2/1/2019,Best game ever. I made a level 6 clan called WAR ROOSTERS 2 ....... The game can be boring but it still is addictive Thanks supercell for making this game!,Matt Lane,5
2/1/2019,I'm having a lot of funnn!!!!!!!!,Steven Riley,5
2/1/2019,"this game is so addicting... i've spent all of my life saving on gems, totally worth every dime... i play this game during any given opportunity, such as bathing or driving, life is meaningless without this game ALL HAIL CLASH OF CLANS",Plasma Dabs,2
